<<<<<<< HEAD
peid,salida
252,7/14/2011 16:06
254,8/17/2020 1:52
255,11/30/2020 19:21
257,9/7/2010 23:05
263,10/11/2013 14:24
264,7/16/2017 7:10
267,1/19/2021 1:07
268,7/31/2017 10:23
269,4/14/2021 13:13
270,4/8/2019 4:19
275,4/29/2021 1:47
276,6/16/2021 7:24
277,8/12/2014 22:29
278,3/3/2021 13:42
281,11/14/2017 17:38
282,3/19/2011 17:02
283,1/25/2015 9:18
285,6/3/2021 11:29
290,5/23/2016 19:32
292,12/3/2017 6:32
293,7/21/2013 11:20
294,2/13/2011 1:37
302,8/13/2018 9:30
303,3/14/2021 15:34
304,12/11/2020 22:55
307,3/1/2021 3:10
308,3/13/2013 21:55
309,10/13/2016 8:24
310,9/28/2014 9:47
311,8/18/2020 16:17
316,1/6/2012 7:20
317,1/9/2017 2:31
318,6/20/2021 2:01
320,9/25/2010 6:48
322,2/23/2014 15:40
325,7/26/2021 6:06
326,5/9/2020 13:47
329,10/26/2020 18:43
331,3/13/2016 2:31
332,8/7/2021 18:37
333,11/10/2020 9:54
334,1/29/2021 10:52
336,3/7/2019 2:53
338,10/8/2013 18:23
340,8/6/2021 13:20
344,2/21/2021 23:35
350,6/12/2021 9:10
352,5/28/2014 13:54
353,6/7/2021 1:28
355,6/24/2021 20:59
356,3/16/2011 17:49
358,5/26/2021 14:38
359,5/3/2014 7:14
362,9/23/2020 19:24
363,10/30/2020 16:30
366,9/25/2020 17:11
367,12/17/2020 16:09
372,6/26/2021 15:35
379,2/10/2021 12:03
380,5/5/2020 18:14
383,3/12/2013 5:27
384,4/30/2021 20:02
385,11/23/2020 13:01
388,7/15/2015 15:22
389,6/5/2021 0:53
395,9/13/2020 21:40
397,11/6/2012 3:14
401,12/6/2020 5:04
402,7/3/2019 22:14
403,1/18/2010 15:43
405,4/7/2020 0:22
408,11/25/2020 15:58
409,1/2/2021 22:36
411,8/3/2019 17:35
413,7/8/2021 21:20
415,4/28/2021 17:01
416,6/11/2015 8:51
417,5/15/2021 16:18
418,2/3/2021 20:31
424,4/5/2014 3:03
428,5/27/2016 18:22
429,9/19/2016 16:32
430,9/21/2015 23:00
433,8/4/2012 18:05
434,2/13/2021 21:33
435,3/6/2017 0:06
436,1/8/2016 13:48
437,3/22/2017 5:49
440,1/9/2021 12:21
445,3/8/2015 13:33
448,11/30/2018 14:59
455,8/2/2021 7:30
459,10/10/2010 22:57
464,11/7/2015 22:15
465,6/30/2012 0:13
466,2/8/2021 22:11
469,2/26/2021 13:30
473,7/18/2019 13:28
475,3/9/2021 13:58
478,9/16/2016 22:29
480,7/6/2017 6:59
481,6/16/2021 6:22
482,12/2/2020 20:07
485,1/20/2017 12:26
490,5/3/2015 7:07
492,3/6/2021 16:32
493,10/6/2015 11:04
497,6/7/2021 17:10
502,11/14/2011 5:12
504,8/6/2021 3:51
506,2/3/2013 3:21
507,6/4/2021 9:14
510,11/17/2020 14:51
513,4/8/2016 13:08
515,3/15/2018 18:55
520,6/17/2015 20:53
522,11/30/2018 13:58
524,1/22/2021 5:09
526,3/4/2021 12:25
528,10/2/2020 4:07
529,4/22/2011 3:31
530,5/5/2021 19:48
531,1/23/2021 15:03
533,1/20/2021 21:38
535,6/10/2021 3:39
537,10/20/2020 23:33
538,12/28/2020 20:11
540,8/22/2013 3:03
547,4/29/2020 0:03
548,8/30/2011 18:03
550,9/27/2020 1:32
562,1/2/2014 21:51
564,10/24/2019 17:56
567,5/8/2021 20:12
568,12/22/2020 23:45
569,8/29/2021 14:27
570,7/24/2021 23:01
574,8/27/2021 2:36
579,2/25/2012 3:02
580,6/29/2021 11:17
584,2/18/2011 22:17
587,4/28/2017 18:36
588,1/24/2021 20:28
589,5/6/2014 7:09
591,7/27/2015 3:09
593,9/19/2013 1:56
595,8/1/2015 12:47
596,12/29/2013 3:36
600,9/17/2013 17:07
601,4/27/2011 5:26
604,2/17/2017 21:10
606,5/6/2020 4:08
607,10/4/2017 18:37
612,10/6/2020 3:54
614,5/3/2021 13:37
616,5/22/2014 14:14
619,5/20/2010 12:04
620,9/7/2016 14:11
626,12/12/2020 21:50
629,10/5/2020 19:47
632,5/12/2011 7:01
633,2/18/2021 15:17
634,5/1/2015 4:36
638,4/15/2020 20:02
639,1/12/2020 21:10
641,6/13/2014 22:03
645,5/19/2020 3:29
647,8/20/2017 21:04
648,10/8/2013 1:55
649,2/18/2021 20:59
651,10/25/2014 14:37
652,11/16/2010 1:29
653,9/28/2020 16:11
654,12/27/2020 0:14
655,8/31/2021 15:47
656,5/18/2020 20:14
659,8/26/2021 12:47
661,7/8/2019 1:38
663,9/4/2021 2:03
665,7/6/2015 8:21
667,11/21/2020 21:16
670,8/7/2013 13:42
674,9/6/2011 3:18
677,3/18/2017 20:50
683,3/21/2011 7:21
697,2/6/2021 13:23
698,12/3/2015 9:04
699,4/23/2013 10:10
705,2/26/2021 14:39
706,7/17/2021 22:25
709,11/20/2020 6:03
714,9/28/2020 17:36
716,11/20/2020 8:05
720,5/16/2017 15:40
724,4/15/2013 15:18
726,7/2/2011 14:06
730,12/10/2020 18:23
733,2/5/2021 1:33
740,7/13/2021 17:48
743,6/24/2013 23:23
744,1/21/2017 19:35
745,7/11/2020 13:40
749,1/7/2011 6:01
750,12/3/2012 17:42
751,1/16/2021 15:31
754,7/6/2020 11:41
758,8/6/2018 18:21
760,5/3/2016 9:37
761,10/3/2018 10:03
765,5/15/2015 22:32
767,9/17/2015 17:56
770,4/3/2021 8:30
772,12/19/2020 18:13
773,9/13/2011 2:00
775,2/7/2010 15:15
787,1/18/2013 8:24
791,5/18/2021 14:50
796,5/19/2021 13:51
800,6/3/2021 8:39
804,6/30/2021 18:09
806,9/12/2020 12:04
807,5/12/2014 4:34
809,6/4/2012 8:21
812,2/26/2017 18:42
818,8/6/2018 23:44
819,1/7/2019 14:50
823,5/6/2021 3:51
824,6/25/2015 15:51
830,6/23/2021 12:34
832,6/20/2014 9:29
833,10/14/2015 4:12
836,10/25/2020 20:15
838,2/8/2012 13:07
839,4/3/2016 7:04
841,12/20/2020 6:31
845,5/25/2011 5:46
848,7/24/2019 11:49
851,7/28/2021 21:35
852,1/9/2021 7:25
853,11/22/2020 8:42
858,8/2/2012 16:09
859,7/24/2020 18:25
862,11/29/2020 16:13
863,11/15/2010 23:44
864,4/4/2021 1:02
871,12/19/2017 23:14
872,3/10/2021 15:57
874,6/12/2017 18:38
876,8/28/2021 17:29
877,4/20/2019 17:52
878,9/29/2010 6:00
879,3/18/2019 18:16
880,6/28/2015 11:07
881,9/4/2011 13:12
882,2/2/2021 18:47
889,2/24/2016 5:19
890,12/9/2018 10:29
=======
peid,salida
1,4/27/2018 23:05
4,5/10/2015 11:47
6,8/31/2011 22:37
8,1/4/2018 2:06
11,7/4/2019 19:21
12,3/14/2018 4:02
13,10/28/2020 11:03
15,6/22/2017 3:02
17,7/23/2021 6:38
18,1/15/2021 20:51
19,11/25/2020 15:33
21,9/27/2020 19:13
22,4/18/2020 14:55
23,9/22/2020 7:26
25,9/1/2011 20:14
26,8/14/2017 23:05
29,8/5/2020 6:47
31,5/21/2021 2:54
32,11/2/2019 9:44
33,3/18/2019 16:50
38,8/20/2014 11:11
39,6/15/2011 0:10
44,10/17/2020 21:39
52,10/30/2020 22:23
53,10/2/2012 14:09
54,9/11/2020 11:02
62,2/9/2019 9:54
63,2/29/2012 3:03
67,1/14/2021 12:39
68,4/1/2021 20:48
72,6/20/2021 3:58
76,3/28/2019 20:58
77,2/3/2017 18:22
79,8/11/2019 15:39
80,9/30/2010 22:59
81,2/5/2021 11:25
84,4/28/2016 0:04
87,3/26/2010 22:25
93,10/26/2019 12:41
94,9/20/2021 18:08
96,1/9/2017 3:15
97,11/13/2020 9:40
100,8/5/2013 4:55
105,2/26/2017 19:31
107,6/1/2017 19:31
114,3/3/2019 1:19
118,2/24/2017 21:46
121,7/22/2016 20:19
125,1/15/2021 4:23
127,12/9/2020 5:22
128,5/13/2021 19:34
131,7/4/2021 18:01
136,1/12/2021 6:15
138,11/27/2011 2:57
139,4/22/2021 2:50
140,5/27/2015 11:14
144,4/24/2015 18:12
145,8/27/2015 10:56
148,1/24/2012 7:24
149,6/17/2017 10:01
150,9/1/2021 12:10
152,2/8/2018 18:10
163,9/28/2020 10:08
165,6/11/2021 3:28
169,9/21/2020 21:52
173,2/14/2014 19:30
174,6/1/2015 20:20
175,1/7/2016 17:22
181,7/13/2018 13:45
186,6/28/2013 23:27
189,1/13/2021 8:54
191,7/6/2021 6:26
194,11/24/2014 4:51
195,2/18/2017 6:52
198,6/17/2021 22:20
200,7/9/2021 3:24
203,5/25/2019 11:35
205,5/18/2021 17:06
208,6/27/2012 19:57
212,11/1/2013 14:56
215,11/24/2020 3:02
224,11/28/2013 0:22
225,11/22/2012 22:01
227,4/25/2015 20:44
230,10/28/2014 7:34
233,2/28/2018 5:42
235,10/13/2020 23:41
240,9/16/2018 14:26
241,1/17/2021 6:44
245,10/2/2020 6:18
249,6/8/2021 5:51
252,7/14/2011 16:06
254,8/17/2020 1:52
255,11/30/2020 19:21
257,9/7/2010 23:05
263,10/11/2013 14:24
264,7/16/2017 7:10
267,1/19/2021 1:07
268,7/31/2017 10:23
269,4/14/2021 13:13
270,4/8/2019 4:19
275,4/29/2021 1:47
276,6/16/2021 7:24
277,8/12/2014 22:29
278,3/3/2021 13:42
281,11/14/2017 17:38
282,3/19/2011 17:02
283,1/25/2015 9:18
285,6/3/2021 11:29
290,5/23/2016 19:32
292,12/3/2017 6:32
293,7/21/2013 11:20
294,2/13/2011 1:37
302,8/13/2018 9:30
303,3/14/2021 15:34
304,12/11/2020 22:55
307,3/1/2021 3:10
308,3/13/2013 21:55
309,10/13/2016 8:24
310,9/28/2014 9:47
311,8/18/2020 16:17
316,1/6/2012 7:20
317,1/9/2017 2:31
318,6/20/2021 2:01
320,9/25/2010 6:48
322,2/23/2014 15:40
325,7/26/2021 6:06
326,5/9/2020 13:47
329,10/26/2020 18:43
331,3/13/2016 2:31
332,8/7/2021 18:37
333,11/10/2020 9:54
334,1/29/2021 10:52
336,3/7/2019 2:53
338,10/8/2013 18:23
340,8/6/2021 13:20
344,2/21/2021 23:35
350,6/12/2021 9:10
352,5/28/2014 13:54
353,6/7/2021 1:28
355,6/24/2021 20:59
356,3/16/2011 17:49
358,5/26/2021 14:38
359,5/3/2014 7:14
362,9/23/2020 19:24
363,10/30/2020 16:30
366,9/25/2020 17:11
367,12/17/2020 16:09
372,6/26/2021 15:35
379,2/10/2021 12:03
380,5/5/2020 18:14
383,3/12/2013 5:27
384,4/30/2021 20:02
385,11/23/2020 13:01
388,7/15/2015 15:22
389,6/5/2021 0:53
395,9/13/2020 21:40
397,11/6/2012 3:14
401,12/6/2020 5:04
402,7/3/2019 22:14
403,1/18/2010 15:43
405,4/7/2020 0:22
408,11/25/2020 15:58
409,1/2/2021 22:36
411,8/3/2019 17:35
413,7/8/2021 21:20
415,4/28/2021 17:01
416,6/11/2015 8:51
417,5/15/2021 16:18
418,2/3/2021 20:31
424,4/5/2014 3:03
428,5/27/2016 18:22
429,9/19/2016 16:32
430,9/21/2015 23:00
433,8/4/2012 18:05
434,2/13/2021 21:33
435,3/6/2017 0:06
436,1/8/2016 13:48
437,3/22/2017 5:49
440,1/9/2021 12:21
445,3/8/2015 13:33
448,11/30/2018 14:59
455,8/2/2021 7:30
459,10/10/2010 22:57
464,11/7/2015 22:15
465,6/30/2012 0:13
466,2/8/2021 22:11
469,2/26/2021 13:30
473,7/18/2019 13:28
475,3/9/2021 13:58
478,9/16/2016 22:29
480,7/6/2017 6:59
481,6/16/2021 6:22
482,12/2/2020 20:07
485,1/20/2017 12:26
490,5/3/2015 7:07
492,3/6/2021 16:32
493,10/6/2015 11:04
497,6/7/2021 17:10
502,11/14/2011 5:12
504,8/6/2021 3:51
506,2/3/2013 3:21
507,6/4/2021 9:14
510,11/17/2020 14:51
513,4/8/2016 13:08
515,3/15/2018 18:55
520,6/17/2015 20:53
522,11/30/2018 13:58
524,1/22/2021 5:09
526,3/4/2021 12:25
528,10/2/2020 4:07
529,4/22/2011 3:31
530,5/5/2021 19:48
531,1/23/2021 15:03
533,1/20/2021 21:38
535,6/10/2021 3:39
537,10/20/2020 23:33
538,12/28/2020 20:11
540,8/22/2013 3:03
547,4/29/2020 0:03
548,8/30/2011 18:03
550,9/27/2020 1:32
562,1/2/2014 21:51
564,10/24/2019 17:56
567,5/8/2021 20:12
568,12/22/2020 23:45
569,8/29/2021 14:27
570,7/24/2021 23:01
574,8/27/2021 2:36
579,2/25/2012 3:02
580,6/29/2021 11:17
584,2/18/2011 22:17
587,4/28/2017 18:36
588,1/24/2021 20:28
589,5/6/2014 7:09
591,7/27/2015 3:09
593,9/19/2013 1:56
595,8/1/2015 12:47
596,12/29/2013 3:36
600,9/17/2013 17:07
601,4/27/2011 5:26
604,2/17/2017 21:10
606,5/6/2020 4:08
607,10/4/2017 18:37
612,10/6/2020 3:54
614,5/3/2021 13:37
616,5/22/2014 14:14
619,5/20/2010 12:04
620,9/7/2016 14:11
626,12/12/2020 21:50
629,10/5/2020 19:47
632,5/12/2011 7:01
633,2/18/2021 15:17
634,5/1/2015 4:36
638,4/15/2020 20:02
639,1/12/2020 21:10
641,6/13/2014 22:03
645,5/19/2020 3:29
647,8/20/2017 21:04
648,10/8/2013 1:55
649,2/18/2021 20:59
651,10/25/2014 14:37
652,11/16/2010 1:29
653,9/28/2020 16:11
654,12/27/2020 0:14
655,8/31/2021 15:47
656,5/18/2020 20:14
659,8/26/2021 12:47
661,7/8/2019 1:38
663,9/4/2021 2:03
665,7/6/2015 8:21
667,11/21/2020 21:16
670,8/7/2013 13:42
674,9/6/2011 3:18
677,3/18/2017 20:50
683,3/21/2011 7:21
697,2/6/2021 13:23
698,12/3/2015 9:04
699,4/23/2013 10:10
705,2/26/2021 14:39
706,7/17/2021 22:25
709,11/20/2020 6:03
714,9/28/2020 17:36
716,11/20/2020 8:05
720,5/16/2017 15:40
724,4/15/2013 15:18
726,7/2/2011 14:06
730,12/10/2020 18:23
733,2/5/2021 1:33
740,7/13/2021 17:48
743,6/24/2013 23:23
744,1/21/2017 19:35
745,7/11/2020 13:40
749,1/7/2011 6:01
750,12/3/2012 17:42
751,1/16/2021 15:31
754,7/6/2020 11:41
758,8/6/2018 18:21
760,5/3/2016 9:37
761,10/3/2018 10:03
765,5/15/2015 22:32
767,9/17/2015 17:56
770,4/3/2021 8:30
772,12/19/2020 18:13
773,9/13/2011 2:00
775,2/7/2010 15:15
787,1/18/2013 8:24
791,5/18/2021 14:50
796,5/19/2021 13:51
800,6/3/2021 8:39
804,6/30/2021 18:09
806,9/12/2020 12:04
807,5/12/2014 4:34
809,6/4/2012 8:21
812,2/26/2017 18:42
818,8/6/2018 23:44
819,1/7/2019 14:50
823,5/6/2021 3:51
824,6/25/2015 15:51
830,6/23/2021 12:34
832,6/20/2014 9:29
833,10/14/2015 4:12
836,10/25/2020 20:15
838,2/8/2012 13:07
839,4/3/2016 7:04
841,12/20/2020 6:31
845,5/25/2011 5:46
848,7/24/2019 11:49
851,7/28/2021 21:35
852,1/9/2021 7:25
853,11/22/2020 8:42
858,8/2/2012 16:09
859,7/24/2020 18:25
862,11/29/2020 16:13
863,11/15/2010 23:44
864,4/4/2021 1:02
871,12/19/2017 23:14
872,3/10/2021 15:57
874,6/12/2017 18:38
876,8/28/2021 17:29
877,4/20/2019 17:52
878,9/29/2010 6:00
879,3/18/2019 18:16
880,6/28/2015 11:07
881,9/4/2011 13:12
882,2/2/2021 18:47
889,2/24/2016 5:19
890,12/9/2018 10:29
>>>>>>> a1edd2e96bb461b952bddd9508e1c7d0428bb7ce
